OLIGOTYPE,PHYLUM,NUM_BEST_HITS,BEST_PCT_ID,BEST_FULL_PCT_ID,HMTs,BODY_SITE,Assign_reads_to,Notes,HOMD_SPECIES,STRAIN_CLONE,HOMD_REFSEQ_ID,GB_NCBI_ID,HOMD_STATUS,
V3V5_140_Fusobacteria,Fusobacteria,1,100,100,HMT-392,"SUBP,SUPP",100,,Leptotrichia sp. HMT 392,Clone: P2PB_51,392_7053,AY207053,Phylotype,
V3V5_145_Fusobacteria,Fusobacteria,1,100,100,HMT-225,"SUBP,SUPP",100,,Leptotrichia sp. HMT 225,Strain: FEA2,225_FEA2,GQ422731,Unnamed,
V3V5_150_Bacteroidetes,Bacteroidetes,1,100,100,HMT-322,"SUBP,SUPP",100,,Bergeyella sp. HMT 322,Clone: AK152,322AK152,AY008691,Phylotype,
V3V5_162_Bacteroidetes,Bacteroidetes,1,100,100,HMT-332,"SUBP,SUPP",100,,Capnocytophaga sp. HMT 332,Clone: DS022,332DS022,AF366270,Unnamed,
V3V5_163_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-577,"SUBP,SUPP",100,,Eikenella corrodens,Strain: 1664276,577_0620,AF320620,Named,
V3V5_165_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-329,HMT-329,HMT-329","SUBP,SUPP",100,,"Capnocytophaga leadbetteri,Capnocytophaga leadbetteri,Capnocytophaga leadbetteri","Clone: BR085,Clone: BU084,Clone: BM058","329BR085,329BU084,329BM058","GU350453,AF385569,AY005075","Named,Named,Named",
V3V5_170_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-633,"SUBP,SUPP",100,,Cardiobacterium hominis,Strain: ATCC 16826,633_5014,M35014,Named,
V3V5_171_Fusobacteria,Fusobacteria,1,100,100,HMT-212,"SUBP,SUPP",100,,Leptotrichia sp. HMT 212,Clone: BU064,212BU064,AY008309,Unnamed,
V3V5_182_Fusobacteria,Fusobacteria,1,100,100,HMT-214,"SUBP,SUPP",100,,Leptotrichia shahii,Clone: DE081,214DE081,AF366268,Named,
V3V5_194_Bacteroidetes,Bacteroidetes,1,100,100,HMT-658,"SUBP,SUPP",100,,Prevotella loescheii,Strain: ATCC 15930,658_6481,L16481,Named,
V3V5_197_Firmicutes,Firmicutes,1,100,100,HMT-686,"SUBP,SUPP",100,,Streptococcus mutans,Strain: NCTC 10449,686_3965,AJ243965,Named,
V3V5_206_Firmicutes,Firmicutes,1,100,100,HMT-107,"SUBP,SUPP",100,,Lachnoanaerobaculum umeaense,Strain: F0167,107F0167,tbd,Named,
V3V5_209_Firmicutes,Firmicutes,1,100,100,HMT-100,"SUBP,SUPP",100,,Lachnospiraceae [G-3] bacterium HMT 100,Clone: EI074,100EI074,AF385573,Phylotype,
V3V5_210_Betaproteobacteria,Betaproteobacteria,1,100,100,"HMT-894,HMT-894","SUBP,SUPP",100,,"Ottowia sp. HMT 894,Ottowia sp. HMT 894","Strain: W10237,Clone: BL117","894-Wade,894Wade2","tbd,JQ406530","Unnamed,Unnamed",
V3V5_211_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-014,"SUBP,SUPP",100,,Neisseria oralis,Strain: F0314,014F0314,tbd,Named,
V3V5_215_Fusobacteria,Fusobacteria,1,100,100,HMT-219,"SUBP,SUPP",100,,Leptotrichia sp. HMT 219,Clone: EI022,219EI022,AF385572,Phylotype,
V3V5_219_Bacteroidetes,Bacteroidetes,1,100,100,HMT-336,"SUBP,SUPP",100,,Capnocytophaga sp. HMT 336,Clone: 070035_613,336_2363,JQ462363,Unnamed,
V3V5_220_Actinobacteria,Actinobacteria,1,100,100,"HMT-448,HMT-448","SUBP,SUPP",100,,"Actinomyces sp. HMT 448,Actinomyces sp. HMT 448","Strain: F0400,Clone: 071059_594","448F0400,448_3317","tbd,JQ473317","Unnamed,Unnamed",
V3V5_226_Actinobacteria,Actinobacteria,1,100,100,HMT-176,"SUBP,SUPP",100,,Actinomyces naeslundii,Clone: EP011,176EP011,AY008315,Named,
V3V5_231_Firmicutes,Firmicutes,1,100,100,"HMT-494,HMT-494","SUBP,SUPP",100,,"Lachnoanaerobaculum saburreum,Lachnoanaerobaculum saburreum","Strain: DSM 3986,Clone: IR009","494_RDP,494IR009","RDP,AY349376","Named,Named",
V3V5_233_Actinobacteria,Actinobacteria,1,100,100,HMT-852,"SUBP,SUPP",100,,Actinomyces massiliensis,Strain: F0489,852F0489,tbd,Named,
V3V5_241_Fusobacteria,Fusobacteria,1,100,100,HMT-498,"SUBP,SUPP",100,,Leptotrichia sp. HMT 498,Clone: IK040,498IK040,AY349387,Unnamed,
V3V5_262_Fusobacteria,Fusobacteria,1,100,100,HMT-222,"SUBP,SUPP",100,,Leptotrichia wadei,Strain: F0279,222F0279,tbd,Named,
V3V5_268_Firmicutes,Firmicutes,1,100,100,"HMT-078,HMT-078,HMT-078,HMT-078","SUBP,SUPP",100,,"Oribacterium sp. HMT 078,Oribacterium sp. HMT 078,Oribacterium sp. HMT 078,Oribacterium sp. HMT 078","Strain: F0262,Clone: AO068,Strain: F0263a,Strain: F0263b","078F0262,078AO068,078F263a,078F263b","tbd,AF287771,tbd,tbd","Unnamed,Unnamed,Unnamed,Unnamed",
V3V5_269_Betaproteobacteria,Betaproteobacteria,1,100,100,"HMT-013,HMT-013","SUBP,SUPP",100,,"Neisseria bacilliformis,Neisseria bacilliformis","Clone: P4D1-729,Strain: S4","013_9613,013_5756","EF509613,KM225756","Named,Named",
V3V5_293_Bacteroidetes,Bacteroidetes,1,100,100,HMT-378,"SUBP,SUPP",100,,Prevotella micans,Strain: E7_56,378_1228,AF481228,Named,
V3V5_301_Bacteroidetes,Bacteroidetes,1,100,100,HMT-317,"SUBP,SUPP",100,,Prevotella sp. HMT 317,Clone: C3MKM081,317_8624,AY278624,Unnamed,
V3V5_309_Actinobacteria,Actinobacteria,1,100,100,HMT-848,"SUBP,SUPP",100,,Peptidiphaga gingivicola,Strain: F0332,848F0332,GQ131416,Named,
V3V5_312_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-545,"SUBP,SUPP",100,,Aggregatibacter aphrophilus,Strain: ATCC 33389,545_5041,M75041,Named,
V3V5_318_Actinobacteria,Actinobacteria,1,100,100,HMT-618,"SUBP,SUPP",100,,Actinomyces gerencseriae,Clone: 069086_229,618_1735,JQ451735,Named,
V3V5_377_Epsilonproteobacteria,Epsilonproteobacteria,1,100,100,HMT-580,"SUBP,SUPP",100,,Campylobacter curvus,Strain: ATCC 35224,580_4313,L04313,Named,
V3V5_028_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-022,"SUBP,SUPP,SV",100,,Lautropia mirabilis,Strain: Fredericksen,022_3223,X73223,Named,
V3V5_129_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-288,HMT-288","SUBP,SUPP,SV",100,,"Prevotella oulorum,Prevotella oulorum","Strain: F0390,Strain: ATCC 43324","288F0390,288_6472","tbd,L16472","Named,Named",
V3V5_264_Bacteroidetes,Bacteroidetes,1,100,100,HMT-443,"SUBP,SUPP,SV",100,,Prevotella sp. HMT 443,Clone: P4PB_24,443_1415,AY331415,Phylotype,
V3V5_319_Bacteroidetes,Bacteroidetes,1,100,100,HMT-289,"SUBP,SUPP,SV",100,,Prevotella maculosa,Strain: W1609,289_4315,EF534315,Named,
V3V5_065_Bacteroidetes,Bacteroidetes,1,100,100,HMT-075,SV,100,,Ruminococcaceae [G-1] bacterium HMT 075,Clone: _F058,075_F058,AF287779,Phylotype,
V3V5_141_Firmicutes,Firmicutes,1,100,100,HMT-085,SV,100,,Ruminococcaceae [G-2] bacterium HMT 085,Clone: BU014,085BU014,AF385563,Phylotype,
V3V5_229_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-946,SV,100,,Haemophilus pittmaniae,Strain: CCUG 48703,946_0755,AJ290755,Named,
V3V5_234_Actinobacteria,Actinobacteria,1,100,100,"HMT-530,HMT-530",SV,100,,"Cutibacterium acnes,Cutibacterium acnes","Strain: JCM 6425,Strain: 63597","530N000A,530_5256","NR_113028,AF145256","Named,Named",
V3V5_280_Firmicutes,Firmicutes,1,100,100,"HMT-917,HMT-917","SV,TD,TH",100,,"Veillonella sp. HMT 917,Veillonella sp. HMT 917","Clone: EL130,Clone: H2-plate10_E12","917-Wade,917_6290","JQ406541,HQ176290","Phylotype,Phylotype",
V3V5_277_Epsilonproteobacteria,Epsilonproteobacteria,1,100,100,HMT-044,"SV,TH",100,,Campylobacter sp. HMT 044,Clone: BB120,044BB120,AY005038,Phylotype,
V3V5_177_Firmicutes,Firmicutes,1,100,100,HMT-886,TD,100,,Streptococcus cristatus clade 886,Strain: LGM 21535,886_9095,AY099095,Named,
