[RC]                             Taxonomy                                                                             Genus	[RC]                                                          -----                                                          -----                                             Species	[RC]      -----       -----        HOT 1	[RC]   current               -----                 -----      Group	Sorting Named Unnamed Phylotype	[RC]       -----  Phylo order 	Export                   [RC]                                   -----                            RNA filename current master including all on >=14.5	[RC]                        -----              HOMD Ref seq 16S Accession Nos	BLAST Ref Seq	 Taxon Ref	Culti-vated	Culti-vated no genome	Name for LPSN                                                    https://lpsn.dsmz.de/	Exception	Name for NCBI                          https://www.ncbi.nlm.nih.gov/nuccore/?term=              https://www.ncbi.nlm.nih.gov/protein/?term=	Ecveption	Reference sequence for Unnamed	Genome	Note
Aggregatibacter	aphrophilus	_545	Named	Named	7.0	545_5041	M75041	1	1	1	0	species/aggregatibacter-aphrophilus	0	"""Aggregatibacter+aphrophilus"""	0	z		
Aggregatibacter	paraphrophilus	_720	Named	Named	8.0	720_5042	M75042	1	1	1	0	species/aggregatibacter-paraphrophilus	0	"""Aggregatibacter+paraphrophilus"""	0	z		
Aggregatibacter	segnis	_762	Named	Named	1.0	762_5043	M75043	1	1	1	0	species/aggregatibacter-segnis	0	"""Aggregatibacter+segnis"""	0	z		
Agrobacterium	tumefaciens	_485	Named	Named	138.0	485_1223	M11223	1	1	1	0	species/agrobacterium-tumefaciens	0	"""Agrobacterium+tumefaciens"""	0	z		
Alloiococcus	otitis	_831	Named	Named	728.0	831_7475	AY957475	1	1	1	0	species/alloiococcus-otitis	0	"""Alloiococcus+otitis"""	0	z		
Alloprevotella	rava	_302	Named	Named	285.0	302F0020	GQ422736	1	1	1	0	species/alloprevotella-rava	0	"""Alloprevotella+rava"""	0	z		
Alloprevotella	tannerae	_466	Named	Named	288.0	466_5634	AJ005634	1	1	1	0	species/alloprevotella-tannerae	0	"""Alloprevotella+tannerae"""	0	z		
Alloscardovia	omnicolens	_198	Named	Named	955.0	198_2583	NR_042583	1	1	1	0	species/alloscardovia-omnicolens	0	"""Alloscardovia+omnicolens"""	0	z		
Anaerococcus	lactolyticus	_859	Named	Named	580.0	859_3373	AB673373	1	1	1	0	species/anaerococcus-lactolyticus	0	"""Anaerococcus+lactolyticus"""	0	z		
Anaerococcus	octavius	_017	Named	Named	570.0	017N004A	NR_026360	1	1	1	1	species/anaerococcus-octavius	0	"""Anaerococcus+octavius"""	0	z		
Anaerococcus	prevotii	_738	Named	Named	577.0	738_4575	NR_074575	1	1	1	0	species/anaerococcus-prevotii	0	"""Anaerococcus+prevotii"""	0	z		
Anaerococcus	tetradius	_788	Named	Named	579.0	788F0127	GQ422749	1	1	1	0	species/anaerococcus-tetradius	0	"""Anaerococcus+tetradius"""	0	z		
Anaeroglobus	geminatus	_121	Named	Named	639.0	121BB166	AF287783	1	1	1	0	species/anaeroglobus-geminatus	0	"""Anaeroglobus+geminatus"""	0	z		
Anoxybacillus	flavithermus	_182	Named	Named	761.0	182N107A	AJ586357	1	1	1	0	species/anoxybacillus-flavithermus	0	"""Anoxybacillus+flavithermus"""	0	z		
Arachnia	propionica	_739	Named	Named	898.0	739_5953	AJ315953	1	1	1	0	species/arachnia-propionica	0	"""Arachnia+propionica"""	0	z		
Arachnia	rubra	_194	Named	Named	897.0	194BN085	AF287757	1	1	1	1	species/arachnia-rubra	0	"""Arachnia+rubra"""	0	z		
Arcanobacterium	haemolyticum	_811	Named	Named	851.0	811_4059	AJ234059	1	1	1	0	species/arcanobacterium-haemolyticum	0	"""Arcanobacterium+haemolyticum"""	0	z		
Arsenicicoccus	bolidensis	_190	Named	Named	913.0	190B46KS	AF287753	1	1	1	0	species/arsenicicoccus-bolidensis	0	"""Arsenicicoccus+bolidensis"""	0	z		
Arthrospira	platensis	_229	Named	Named	975.0	229N115A	EU427543	1	1	1	0	species/arthrospira-platensis	0	"""Arthrospira+platensis"""	0	z		
Atopobium	minutum	_674	Named	Named	938.0	674_7148	X67148	1	1	1	0	species/atopobium-minutum	0	"""Atopobium+minutum"""	0	z		
Atopobium	parvulum	_723	Named	Named	937.0	723_2372	AF292372	1	1	1	0	species/atopobium-parvulum	0	"""Atopobium+parvulum"""	0	z		
Atopobium	rimae	_750	Named	Named	935.0	750_2371	AF292371	1	1	1	0	species/atopobium-rimae	0	"""Atopobium+rimae"""	0	z		
Atopobium	vaginae	_814	Named	Named	933.0	814_5325	AF325325	1	1	1	0	species/atopobium-vaginae	0	"""Atopobium+vaginae"""	0	z		
Bacillus	anthracis	_824	Named	Named	764.0	824_5951	AF155951	1	1	1	0	species/bacillus-anthracis	0	"""Bacillus+anthracis"""	0	z		
Bacillus	clausii	_045	Named	Named	756.0	045_3853	AB043853	1	1	1	0	species/bacillus-clausii	0	"""Bacillus+clausii"""	0	z		
Bacillus	subtilis	_468	Named	Named	763.0	468_8486	AB018486	1	1	1	0	species/bacillus-subtilis	0	"""Bacillus+subtilis"""	0	z		
Bacteroides	heparinolyticus	_630	Named	Named	289.0	630_6487	L16487	1	1	1	1	species/bacteroides-heparinolyticus	0	"""Bacteroides+heparinolyticus"""	0	z		
Bacteroides	pyogenes	_787	Named	Named	292.0	787F0041	GQ422748	1	1	1	0	species/bacteroides-pyogenes	0	"""Bacteroides+pyogenes"""	0	z		
Bacteroides	zoogleoformans	_465	Named	Named	291.0	465_6488	L16488	1	1	1	1	species/bacteroides-zoogleoformans	0	"""Bacteroides+zoogleoformans"""	0	z		
Bartonella	schoenbuchensis	_001	Named	Named	137.0	001A28SC	GQ422708	1	1	1	0	species/bartonella-schoenbuchensis	0	"""Bartonella+schoenbuchensis"""	0	z		
Bifidobacterium	animalis subsp. animalis	_895	Named	Named	949.0	895_6185	D86185	1	1	1	0	subspecies/bifidobacterium-animalis-animalis	1	"""Bifidobacterium+animalis"""	1	z		
Bifidobacterium	breve	_889	Named	Named	943.0	889_6658	AB006658	1	1	1	0	species/bifidobacterium-breve	0	"""Bifidobacterium+breve"""	0	z		
Bifidobacterium	dentium	_588	Named	Named	946.0	588_6183	D86183	1	1	1	0	species/bifidobacterium-dentium	0	"""Bifidobacterium+dentium"""	0	z		
Bifidobacterium	longum	_862	Named	Named	944.0	862_3437	NR_043437	1	1	1	0	species/bifidobacterium-longum	0	"""Bifidobacterium+longum"""	0	z		
Bifidobacterium	scardovii	_891	Named	Named	945.0	891_7363	AB437363	1	1	1	0	species/bifidobacterium-scardovii	0	"""Bifidobacterium+scardovii"""	0	z		
Bifidobacterium	subtile	_890	Named	Named	947.0	890_9329	D89329	1	1	1	0	species/bifidobacterium-subtile	0	"""Bifidobacterium+subtile"""	0	z		
Bordetella	pertussis	_828	Named	Named	133.0	828_2327	AF142327	1	1	1	0	species/bordetella-pertussis	0	"""Bordetella+pertussis"""	0	z		
Bosea	vestrisii	_636	Named	Named	146.0	636_7774	U87774	1	1	1	1	species/bosea-vestrisii	0	"""Bosea+vestrisii"""	0	z		
Bradyrhizobium	elkanii	_597	Named	Named	145.0	597_5000	U35000	1	1	1	0	species/bradyrhizobium-elkanii	0	"""Bradyrhizobium+elkanii"""	0	z		
Brevibacterium	paucivorans	_340	Named	Named	924.0	340N141A	NR_025375	1	1	1	1	species/brevibacterium-paucivorans	0	"""Brevibacterium+paucivorans"""	0	z		
Brevundimonas	diminuta	_590	Named	Named	147.0	590_9422	D49422	1	1	1	0	species/brevundimonas-diminuta	0	"""Brevundimonas+diminuta"""	0	z		
Brochothrix	thermosphacta	_241	Named	Named	765.0	241N118A	NR_113587	1	1	1	0	species/brochothrix-thermosphacta	0	"""Brochothrix+thermosphacta"""	0	z		
Bulleidia	extructa	_603	Named	Named	801.0	603_0064	AF220064	1	1	1	0	species/bulleidia-extructa	0	"""Bulleidia+extructa"""	0	z		
Burkholderia	cepacia	_571	Named	Named	131.0	571_7530	AF097530	1	1	1	0	species/burkholderia-cepacia	0	"""Burkholderia+cepacia"""	0	z		
Campylobacter	concisus	_575	Named	Named	164.0	575_6977	L06977	1	1	1	0	species/campylobacter-concisus	0	"""Campylobacter+concisus"""	0	z		
Campylobacter	curvus	_580	Named	Named	163.0	580_4313	L04313	1	1	1	0	species/campylobacter-curvus	0	"""Campylobacter+curvus"""	0	z		
Campylobacter	gracilis	_623	Named	Named	166.0	623_4320	L04320	1	1	1	0	species/campylobacter-gracilis	0	"""Campylobacter+gracilis"""	0	z		
Campylobacter	rectus	_748	Named	Named	159.0	748_4317	L04317	1	1	1	0	species/campylobacter-rectus	0	"""Campylobacter+rectus"""	0	z		
Campylobacter	showae	_763	Named	Named	161.0	763_6974	L06974	1	1	1	0	species/campylobacter-showae	0	"""Campylobacter+showae"""	0	z		
Campylobacter	sputorum	_776	Named	Named	167.0	776_2768	AF022768	1	1	1	0	species/campylobacter-sputorum	0	"""Campylobacter+sputorum"""	0	z		
Campylobacter	ureolyticus	_842	Named	Named	168.0	842_4321	L04321	1	1	1	0	species/campylobacter-ureolyticus	0	"""Campylobacter+ureolyticus"""	0	z		
Capnocytophaga	gingivalis	_337	Named	Named	337.0	337-S3	AY005073	1	1	1	0	species/capnocytophaga-gingivalis	0	"""Capnocytophaga+gingivalis"""	0	z		
Capnocytophaga	granulosa	_325	Named	Named	334.0	325AH015	AY005074	1	1	1	0	species/capnocytophaga-granulosa	0	"""Capnocytophaga+granulosa"""	0	z		
Capnocytophaga	haemolytica	_627	Named	Named	333.0	627_1349	U41349	1	1	1	0	species/capnocytophaga-haemolytica	0	"""Capnocytophaga+haemolytica"""	0	z		
Capnocytophaga	leadbetteri	_329	Named	Named	329.0	329BR085	GU350453	1	1	1	0	species/capnocytophaga-leadbetteri	0	"""Capnocytophaga+leadbetteri"""	0	z		
Capnocytophaga	ochracea	_700	Named	Named	319.0	700_4635	L14635	1	1	1	0	species/capnocytophaga-ochracea	0	"""Capnocytophaga+ochracea"""	0	z		
Capnocytophaga	sputigena	_775	Named	Named	326.0	775_7609	X67609	1	1	1	0	species/capnocytophaga-sputigena	0	"""Capnocytophaga+sputigena"""	0	z		
Cardiobacterium	hominis	_633	Named	Named	71.0	633_5014	M35014	1	1	1	0	species/cardiobacterium-hominis	0	"""Cardiobacterium+hominis"""	0	z		
Cardiobacterium	valvarum	_540	Named	Named	73.0	540_4696	AF144696	1	1	1	0	species/cardiobacterium-valvarum	0	"""Cardiobacterium+valvarum"""	0	z		
Catonella	morbi	_165	Named	Named	499.0	165_7151	X87151	1	1	1	0	species/catonella-morbi	0	"""Catonella+morbi"""	0	z		
Centipeda	periodontii	_726	Named	Named	594.0	726_0963	AJ010963	1	1	1	0	species/centipeda-periodontii	0	"""Centipeda+periodontii"""	0	z		
Chlamydophila	pneumoniae	_733	Named	Named	974.0	733_6108	L06108	1	1	1	0	species/chlamydophila-pneumoniae	0	"""Chlamydophila+pneumoniae"""	0	z		
Comamonas	testosteroni	_858	Named	Named	113.0	858_9161	NR_029161	1	1	1	0	species/comamonas-testosteroni	0	"""Comamonas+testosteroni"""	0	z		
Corynebacterium	accolens	_019	Named	Named	860.0	019N026A	NR_042139	1	1	1	0	species/corynebacterium-accolens	0	"""Corynebacterium+accolens"""	0	z		
Corynebacterium	afermentans	_030	Named	Named	881.0	030N027A	NR_026214	1	1	1	0	species/corynebacterium-afermentans	0	"""Corynebacterium+afermentans"""	0	z		
Corynebacterium	amycolatum	_031	Named	Named	890.0	031N028A	NR_119171	1	1	1	0	species/corynebacterium-amycolatum	0	"""Corynebacterium+amycolatum"""	0	z		
Corynebacterium	appendicis	_033	Named	Named	884.0	033N029A	NR_028951	1	1	1	0	species/corynebacterium-appendicis	0	"""Corynebacterium+appendicis"""	0	z		
Corynebacterium	aurimucosum	_034	Named	Named	855.0	034N030A	NR_028941	1	1	1	0	species/corynebacterium-aurimucosum	0	"""Corynebacterium+aurimucosum"""	0	z		
Corynebacterium	bovis	_208	Named	Named	888.0	208N111A	NR_037042	1	1	1	0	species/corynebacterium-bovis	0	"""Corynebacterium+bovis"""	0	z		
Corynebacterium	coyleae	_341	Named	Named	875.0	341N142A	JF124719	1	1	1	0	species/corynebacterium-coyleae	0	"""Corynebacterium+coyleae"""	0	z		
Corynebacterium	diphtheriae	_591	Named	Named	885.0	591_2059	X82059	1	1	1	0	species/corynebacterium-diphtheriae	0	"""Corynebacterium+diphtheriae"""	0	z		
Corynebacterium	durum	_595	Named	Named	871.0	595_7069	Z97069	1	1	1	0	species/corynebacterium-durum	0	"""Corynebacterium+durum"""	0	z		
Corynebacterium	jeikeium	_047	Named	Named	886.0	047N034A	NR_037035	1	1	1	0	species/corynebacterium-jeikeium	0	"""Corynebacterium+jeikeium"""	0	z		
Corynebacterium	kroppenstedtii	_049	Named	Named	889.0	049N035A	NR_074408	1	1	1	0	species/corynebacterium-kroppenstedtii	0	"""Corynebacterium+kroppenstedtii"""	0	z		
Corynebacterium	macginleyi	_050	Named	Named	861.0	050N037A	NR_042138	1	1	1	1	species/corynebacterium-macginleyi	0	"""Corynebacterium+macginleyi"""	0	z		
Corynebacterium	massiliense	_333	Named	Named	863.0	333N139A	NR_044182	1	1	1	0	species/corynebacterium-massiliense	0	"""Corynebacterium+massiliense"""	0	z		
Corynebacterium	mastitidis	_328	Named	Named	872.0	328N136A	NR_026376	1	1	1	0	species/corynebacterium-mastitidis	0	"""Corynebacterium+mastitidis"""	0	z		
Corynebacterium	matruchotii	_666	Named	Named	866.0	666_2065	X82065	1	1	1	0	species/corynebacterium-matruchotii	0	"""Corynebacterium+matruchotii"""	0	z		
Corynebacterium	minutissimum	_053	Named	Named	856.0	053N038A	NR_119182	1	1	1	0	species/corynebacterium-minutissimum	0	"""Corynebacterium+minutissimum"""	0	z		
Corynebacterium	mucifaciens	_835	Named	Named	880.0	835_7599	AF537599	1	1	1	1	species/corynebacterium-mucifaciens	0	"""Corynebacterium+mucifaciens"""	0	z		
Corynebacterium	pilbarense	_054	Named	Named	879.0	054N039A	NR_116953	1	1	1	1	species/corynebacterium-pilbarense	0	"""Corynebacterium+pilbarense"""	0	z		
Corynebacterium	propinquum	_059	Named	Named	864.0	059N040A	NR_037038	1	1	1	0	species/corynebacterium-propinquum	0	"""Corynebacterium+propinquum"""	0	z		
Corynebacterium	pseudodiphtheriticum	_060	Named	Named	865.0	060N041A	NR_042137	1	1	1	0	species/corynebacterium-pseudodiphtheriticum	0	"""Corynebacterium+pseudodiphtheriticum"""	0	z		
Corynebacterium	simulans	_062	Named	Named	858.0	062N042A	NR_025309	1	1	1	0	species/corynebacterium-simulans	0	"""Corynebacterium+simulans"""	0	z		
Corynebacterium	singulare	_063	Named	Named	857.0	063N043A	NR_026394	1	1	1	0	species/corynebacterium-singulare	0	"""Corynebacterium+singulare"""	0	z		
Corynebacterium	striatum	_072	Named	Named	859.0	072N044A	NR_037041	1	1	1	0	species/corynebacterium-striatum	0	"""Corynebacterium+striatum"""	0	z		
Corynebacterium	tuberculostearicum	_077	Named	Named	862.0	077N045A	NR_028975	1	1	1	0	species/corynebacterium-tuberculostearicum	0	"""Corynebacterium+tuberculostearicum"""	0	z		
Corynebacterium	tuscaniense	_184	Named	Named	883.0	184_3093	NR_043093	1	1	1	0	species/corynebacterium-tuscaniense	0	"""Corynebacterium+tuscaniense"""	0	z		
Corynebacterium	urealyticum	_853	Named	Named	887.0	853_7597	NR_027597	1	1	1	0	species/corynebacterium-urealyticum	0	"""Corynebacterium+urealyticum"""	0	z		
Cronobacter	sakazakii	_753	Named	Named	44.0	753_4746	AB004746	1	1	1	0	species/cronobacter-sakazakii	0	"""Cronobacter+sakazakii"""	0	z		
Cryptobacterium	curtum	_579	Named	Named	941.0	579F0066	GQ422741	1	1	1	0	species/cryptobacterium-curtum	0	"""Cryptobacterium+curtum"""	0	z		
Cupriavidus	gilardii	_027	Named	Named	130.0	027_5039	AY005039	1	1	1	0	species/cupriavidus-gilardii	0	"""Cupriavidus+gilardii"""	0	z		
Cutibacterium	acnes	_530	Named	Named	903.0	530_5256	AF145256	1	1	1	0	species/cutibacterium-acnes	0	"""Cutibacterium+acnes"""	0	z		
Cutibacterium	avidum	_552	Named	Named	906.0	552_3055	AJ003055	1	1	1	0	species/cutibacterium-avidum	0	"""Cutibacterium+avidum"""	0	z		
Cutibacterium	granulosum	_114	Named	Named	907.0	114N078A	NR_113367	1	1	1	0	species/cutibacterium-granulosum	0	"""Cutibacterium+granulosum"""	0	z		
Defluvibacter	lusatiensis	_660	Named	Named	135.0	660_5312	NR_025312	1	1	1	1	species/defluvibacter-lusatiensis	0	"""Defluvibacter+lusatiensis"""	0	z		
Delftia	acidovorans	_023	Named	Named	118.0	023_0186	AB020186	1	1	1	0	species/delftia-acidovorans	0	"""Delftia+acidovorans"""	0	z		
Dermabacter	hominis	_354	Named	Named	915.0	354N047A	NR_119073	1	1	1	0	species/dermabacter-hominis	0	"""Dermabacter+hominis"""	0	z		
Desulfomicrobium	orale	_703	Named	Named	173.0	703_1623	AJ251623	1	1	1	0	species/desulfomicrobium-orale	0	"""Desulfomicrobium+orale"""	0	z		
Desulfovibrio	fairfieldensis	_605	Named	Named	172.0	605_1630	AJ251630	1	1	1	0	species/desulfovibrio-fairfieldensis	0	"""Desulfovibrio+fairfieldensis"""	0	z		
Dialister	invisus	_118	Named	Named	643.0	118GBA27	AF287788	1	1	1	0	species/dialister-invisus	0	"""Dialister+invisus"""	0	z		
Dialister	micraerophilus	_843	Named	Named	647.0	843_3837	AF473837	1	1	1	0	species/dialister-micraerophilus	0	"""Dialister+micraerophilus"""	0	z		
Dialister	pneumosintes	_736	Named	Named	646.0	736Dpneu	X82500	1	1	1	0	species/dialister-pneumosintes	0	"""Dialister+pneumosintes"""	0	z		
Dietzia	cinnamea	_368	Named	Named	893.0	368_1211	AF481211	1	1	1	0	species/dietzia-cinnamea	0	"""Dietzia+cinnamea"""	0	z		
Dolosigranulum	pigrum	_813	Named	Named	727.0	813_6959	AM696959	1	1	1	0	species/dolosigranulum-pigrum	0	"""Dolosigranulum+pigrum"""	0	z		
Eggerthella	lenta	_654	Named	Named	942.0	654_2375	AF292375	1	1	1	0	species/eggerthella-lenta	0	"""Eggerthella+lenta"""	0	z		
Eggerthia	catenaformis	_569	Named	Named	804.0	569_3729	M23729	1	1	1	0	species/eggerthia-catenaformis	0	"""Eggerthia+catenaformis"""	0	z		
Eikenella	corrodens	_577	Named	Named	106.0	577_0620	AF320620	1	1	1	0	species/eikenella-corrodens	0	"""Eikenella+corrodens"""	0	z		
Enhydrobacter	aerosaccus	_196	Named	Named	156.0	196N049A	NR_113385	1	1	1	0	species/enhydrobacter-aerosaccus	0	"""Enhydrobacter+aerosaccus"""	0	z		
Enterobacter	cancerogenus	_565	Named	Named	38.0	565_6078	Z96078	1	1	1	0	species/enterobacter-cancerogenus	0	"""Enterobacter+cancerogenus"""	0	z		
Enterobacter	hormaechei	_634	Named	Named	39.0	634_3890	AJ853890	1	1	1	0	species/enterobacter-hormaechei	0	"""Enterobacter+hormaechei"""	0	z		
Enterococcus	casseliflavus	_801	Named	Named	717.0	801_9899	AF039899	1	1	1	0	species/enterococcus-casseliflavus	0	"""Enterococcus+casseliflavus"""	0	z		
Enterococcus	durans	_880	Named	Named	716.0	880_0801	AJ420801	1	1	1	0	species/enterococcus-durans	0	"""Enterococcus+durans"""	0	z		
Enterococcus	faecalis	_604	Named	Named	720.0	604_8293	Y18293	1	1	1	0	species/enterococcus-faecalis	0	"""Enterococcus+faecalis"""	0	z		
Enterococcus	italicus	_803	Named	Named	719.0	803_6902	AJ626902	1	1	1	0	species/enterococcus-italicus	0	"""Enterococcus+italicus"""	0	z		
Enterococcus	saccharolyticus	_802	Named	Named	718.0	802_1004	AF061004	1	1	1	0	species/enterococcus-saccharolyticus	0	"""Enterococcus+saccharolyticus"""	0	z		
Erysipelothrix	tonsillarum	_484	Named	Named	803.0	484_4201	AB034201	1	1	1	0	species/erysipelothrix-tonsillarum	0	"""Erysipelothrix+tonsillarum"""	0	z		
Erythromicrobium	ramosum	_747	Named	Named	149.0	747_5837	AF465837	1	1	1	1	species/erythromicrobium-ramosum	0	"""Erythromicrobium+ramosum"""	0	z		
Escherichia	coli	_574	Named	Named	45.0	574_5588	M25588	1	1	1	0	species/escherichia-coli	0	"""Escherichia+coli"""	0	z		
Eubacterium	limosum	_655	Named	Named	540.0	655_4533	NR_074533	1	1	1	0	species/eubacterium-limosum	0	"""Eubacterium+limosum"""	0	z		
Fastidiosipila	sanguinis	_935	Named	Named	531.0	935_8649	KF098649	1	1	1	1	species/fastidiosipila-sanguinis	0	"""Fastidiosipila+sanguinis"""	0	z		
Filifactor	alocis	_539	Named	Named	549.0	539_6962	AJ006962	1	1	1	0	species/filifactor-alocis	0	"""Filifactor+alocis"""	0	z		
Finegoldia	magna	_662	Named	Named	568.0	662_4677	NR_074677	1	1	1	0	species/finegoldia-magna	0	"""Finegoldia+magna"""	0	z		
Fretibacterium	fastidiosum	_363	Named	Named	968.0	363_W028	AF125202	1	1	1	0	species/fretibacterium-fastidiosum	0	"""Fretibacterium+fastidiosum"""	0	z		
Fusobacterium	gonidiaformans	_860	Named	Named	437.0	860_9686	GQ179686	1	1	1	0	species/fusobacterium-gonidiaformans	0	"""Fusobacterium+gonidiaformans"""	0	z		
Fusobacterium	hwasookii	_953	Named	Named	432.0	953_0020	ALVD01000020	1	1	1	0	species/fusobacterium-hwasookii	0	"""Fusobacterium+hwasookii"""	0	z		
Fusobacterium	massiliense	_248	Named	Named	436.0	248N122A	LT576389	1	1	1	0	species/fusobacterium-massiliense	0	"""Fusobacterium+massiliense"""	0	z		Named not in HOMD
Fusobacterium	naviforme	_689	Named	Named	422.0	689_6965	AJ006965	1	1	1	1	species/fusobacterium-naviforme	0	"""Fusobacterium+naviforme"""	0	z		
Fusobacterium	necrophorum	_690	Named	Named	438.0	690_4948	AF044948	1	1	1	0	species/fusobacterium-necrophorum	0	"""Fusobacterium+necrophorum"""	0	z		
Fusobacterium	nucleatum subsp. animalis	_420	Named	Named	425.0	420_8617	AY278617	1	1	1	0	subspecies/fusobacterium-nucleatum-animalis	1	"""Fusobacterium+nucleatum"""	1	z		
Fusobacterium	nucleatum subsp. nucleatum	_698	Named	Named	427.0	698_3496	AJ133496	1	1	1	0	subspecies/fusobacterium-nucleatum-nucleatum	1	"""Fusobacterium+nucleatum"""	1	z		
Fusobacterium	nucleatum subsp. polymorphum	_202	Named	Named	431.0	202_7812	AF287812	1	1	1	0	subspecies/fusobacterium-nucleatum-polymorphum	1	"""Fusobacterium+nucleatum"""	1	z		
Fusobacterium	nucleatum subsp. vincentii	_200	Named	Named	420.0	200_0026	NZ_AABF02000026	1	1	1	0	subspecies/fusobacterium-nucleatum-vincentii	1	"""Fusobacterium+nucleatumi"""	1	z		
Fusobacterium	periodonticum	_201	Named	Named	434.0	201BS011	AF432130	1	1	1	0	species/fusobacterium-periodonticum	0	"""Fusobacterium+periodonticum"""	0	z		
